response_dt,PFL_FLEET_TYP_CD,gts_12,gts_13,gts_14,gts_15,comped_med,natural_med,never_comped,lapsed_med,Lesiure_tkts_yr1,Business_tkts_yr1,total_ap_yr1,int_tkts_yr1,dom_tkts_yr1,dl_miles_flown_yr1,F_tkts_yr1,F_tkt_rev_yr1,F_miles_flown_yr1,C_tkts_yr1,C_tkt_rev_yr1,C_miles_flown_yr1,Y_tkts_yr1,Y_tkt_rev_yr1,Y_miles_flown_yr1,F_upsell_tkts_yr1,F_upsell_tkt_rev_yr1,F_upsell_miles_flown_yr1,total_tkts_yr1,total_tkt_rev_yr1,dist_partners,tenure,DSC_Entries,hhi,gts_1,dl_segs_yr1,dl_seg_rev_yr1,total_miles_flown_yr1
11-Oct-14,744,3,2,,,0,1,1,0,14,7,451,5,16,83181,9,5638,27489,3,27961,48158,9,6043,28420,1,1180,3916,21,39643,1,18,11,18,5,55,24096,104067
14-Aug-14,CR7,4,4,,,0,1,1,0,26,48,325,0,74,58549,48,25203,37439,1,777,2788,25,13629,18322,1,631,595,74,39608,3,23,91,130,5,127,39608,58549
12-Nov-14,738,5,5,,,0,1,1,0,7,1,111,7,1,97334,1,733,2240,7,38855,97150,0,0,0,0,0,0,8,39588,0,8,16,77,3,30,37588,99390
23-Mar-14,320,2,3,0,1,0,1,1,0,18,33,576,1,50,80374,19,17093,35523,2,1217,4928,30,21242,39923,0,0,0,51,39552,0,10,15,126,4,114,39552,80374
26-Apr-14,CRJ,5,4,,,0,1,1,0,15,15,578,5,25,117501,13,5987,35540,4,27087,40318,13,6438,47532,1,269,1043,30,39512,3,23,35,245,5,105,38463,123390
2-Mar-14,763,2,3,,,0,1,0,0,21,12,253,1,32,98858,27,27470,73211,2,9413,20897,4,2621,4750,14,12127,31727,33,39503,3,28,20,250,3,57,39503,98858
8-Dec-14,757,5,3,,,0,1,1,0,16,7,370,11,12,106107,5,2176,6244,2,17182,18306,16,20109,108074,0,0,0,23,39467,1,2,4,134,4,45,34018,132624
30-Oct-14,MD8,5,5,,,0,1,1,0,77,1,200,1,77,73315,49,24391,39673,0,0,0,29,15043,33752,16,8938,13470,78,39434,3,4,2,144,5,97,39348,73425
11-Dec-14,757,4,3,,,0,1,1,0,9,33,651,2,40,98946,13,10578,26182,3,8952,11802,26,19894,61680,0,0,0,42,39423,1,17,33,250,5,91,37777,99664
25-Sep-14,764,5,5,,,0,1,1,0,17,14,287,12,19,123146,12,7551,15629,7,18272,49986,12,13595,57936,2,2080,2286,31,39418,5,15,13,131,3,58,39266,123551
