WinPct,PER,Ts_pct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
0.439,9,0.417,2.8,17.3,9.9,26,1.2,0.4,17.7,-2.3,1.7,-0.6,-0.021,-3.7,0.8,-2.8,-0.3
0.439,11,0.493,1,7.9,4.3,19.7,1,0.4,10.6,0.5,1,1.5,0.06,-1.1,-1.8,-2.8,-0.3
0.439,14.9,0.571,0,4.7,2.3,20.6,0,0,7.7,0.1,0,0.2,0.115,3,-6,-2.9,0
0.439,10.3,0.462,9.6,12.9,11.2,2.1,0.9,4.6,10.4,0.1,0.9,1.1,0.078,-4.6,1.7,-2.9,-0.1
0.439,15.2,0.518,7.4,21.9,14.5,8.5,1,1.7,9.8,1.5,2,3.5,0.117,-2,1.4,-0.6,0.5
0.439,20.1,0.503,5.3,26,15.4,11.4,1.2,3.2,5.5,1.4,3.1,4.5,0.123,-1,1.6,0.6,1.1
0.439,13.3,0.516,1.7,11.1,6.3,16.7,1.1,0.8,10.9,1.3,1.8,3.1,0.082,-1,-0.1,-1.1,0.4
0.439,8.7,0.442,3.1,12.1,7.5,5,1.6,1.9,7.1,-0.5,0.7,0.2,0.019,-2.2,-1,-3.2,-0.2
0.439,15.5,0.582,15.3,22.8,19,1.7,0.7,6.1,17.4,1.3,1.5,2.8,0.159,-2.9,2.4,-0.6,0.3
0.629,17.8,0.58,10.4,20,15.3,9.1,1.6,2,13.7,1.2,0.7,1.9,0.144,0,0.9,0.9,0.5
0.629,15.8,0.581,14.8,18.5,16.7,2.7,0.8,2.3,11.7,4.3,1.7,6,0.15,0.1,-0.3,-0.2,0.9
0.629,4.4,0.461,0.8,14.1,7.5,8.7,1.1,0.4,16.5,-0.1,0.4,0.3,0.022,-2.6,-0.3,-3,-0.2
0.629,11.1,0.496,6.2,13.8,10.1,6.9,1.3,2,9.9,0.8,0.8,1.6,0.076,-1.8,0.7,-1.1,0.2
0.629,19.2,0.559,6.7,26.9,17,11.1,1,1.1,9.5,5.4,2.5,7.9,0.171,2.2,-0.1,2,2.3
0.629,8.5,0.41,8.3,0,4.1,10.1,0,0,0,0,0,0,0.059,-3,-4.4,-7.4,0
0.629,11.6,0.584,1.3,10.4,5.9,5.8,1,0.9,6.4,1,0.3,1.3,0.112,1.7,-2.7,-1,0.1
0.629,26,0.581,2.1,15.6,9,38.5,2.2,1.5,15.6,6.5,2.3,8.7,0.196,6.3,0.7,7,4.9
0.629,21.8,0.588,2.1,7.6,4.9,24.9,2.1,0.6,11.2,7.9,1.5,9.4,0.188,5,-1.5,3.4,3.3
0.629,8.3,0.478,6.7,23.8,15.4,2.9,1,6.1,24.2,-0.2,0.2,0,-0.01,-8.4,1.1,-7.2,-0.1
0.629,6.4,0.547,1.6,7.5,4.6,7.4,0.8,0.2,14.9,0.2,0.1,0.3,0.035,-1.3,-2.6,-3.9,-0.2
0.629,7.4,0.472,3.3,7.3,5.3,19.1,0.9,0.1,16.2,0.8,0.3,1.1,0.049,-1,-1.9,-2.9,-0.3
0.629,5.8,0.347,1.7,6.5,4.2,16.3,4.5,1.1,15.6,-0.1,0.1,0,-0.024,-4.3,0.6,-3.7,0
0.638,17.6,0.545,4.7,20.2,12.4,4.1,0.9,2.5,7.8,0.5,0.6,1.1,0.097,0.9,-3.4,-2.4,-0.1
0.638,10.6,0.614,8,16.5,12.2,3.5,1,2.5,14.6,0.5,0.3,0.9,0.116,-1.9,1,-0.9,0.1
0.638,16.6,0.571,3.4,12.8,8.1,11.2,1.6,0.7,9.2,3.7,1.6,5.2,0.129,2.9,-0.3,2.6,2.3
0.638,19.7,0.559,2.2,19.9,11,10.5,0.9,1.2,6.1,4.5,1.8,6.3,0.158,1.7,-1.1,0.6,1.3
0.638,-22.7,0.073,10,10,10,11.2,0,0,22.5,-0.2,0,-0.2,-0.721,-20.9,-5.5,-26.4,-0.1
0.638,11,0.57,2.4,14.8,8.6,6.9,1.3,0.8,12.3,1,0.9,1.9,0.087,-0.5,-0.3,-0.8,0.3
0.638,17.2,0.662,12.4,14.6,13.5,5.1,0,7.6,12.4,0.3,0.1,0.4,0.196,0,3,3,0.1
0.638,15.3,0.553,0.9,8.4,4.6,21.2,2.4,0.7,11.7,2.7,1.2,3.9,0.13,2.2,-0.7,1.5,1.3
0.638,9.6,0.381,0,9.3,4.7,25.3,2,1.9,11.8,-0.2,0.1,0,-0.016,-4.4,-1.1,-5.6,-0.1
0.638,17.4,0.513,1.5,6.4,3.9,21.6,2.9,0.8,11.6,1.8,2.1,3.9,0.081,1,-0.7,0.3,1.4
0.638,20.3,0.703,14.2,26.8,20.5,5.3,1,3.4,16.2,6.2,2.7,8.9,0.222,2,2.5,4.6,3.2
0.638,15.6,0.508,2,9.5,5.7,29.5,1.3,0.1,11,2,0.7,2.7,0.106,1.2,-2.3,-1.1,0.3
0.638,15.1,0.516,8.3,18.5,13.4,5.6,2.9,4,11.8,1,1.7,2.7,0.125,-0.5,3,2.5,1.2
0.382,15.6,0.475,11.8,27.9,19.6,7.7,2.4,5.4,15.2,-0.1,1.6,1.5,0.082,-3.7,3.8,0,0.4
0.382,19.3,0.535,1.7,8.2,4.8,44,1.8,0.2,14.1,5.6,1.1,6.8,0.143,3.4,-1.9,1.5,2
0.382,6.6,0.374,12.2,18.5,15.3,3.8,1.9,2.9,18.6,-0.4,0.2,-0.3,-0.077,-6.9,0,-6.9,-0.2
0.382,14.5,0.503,10.8,24.9,17.6,7,1.1,2.1,14.6,0.4,1.2,1.6,0.067,-3.2,0.6,-2.6,-0.2
0.382,3.7,0.356,3.2,7.6,5.3,6.1,3.1,0.9,14.8,-1.3,0.5,-0.8,-0.073,-5.1,0.5,-4.6,-0.3
0.382,8.6,0.441,0.9,7.1,3.9,13.3,1.5,0,8.9,-0.2,0.1,-0.1,-0.014,-3.5,-2.7,-6.3,-0.3
0.382,14.8,0.539,2.4,14.1,8.1,8.6,1.5,0.8,8.2,1.7,0.8,2.5,0.108,1.3,-1.2,0.1,0.6
0.382,9.8,0.493,0.4,7.1,3.7,17.3,1.4,1.1,12.6,0.1,0.3,0.4,0.03,-0.4,-1.9,-2.3,-0.1
0.382,17.6,0.539,11.4,23.4,17.2,7.4,1.3,2.3,12.2,2.5,1.9,4.4,0.122,-0.7,1.3,0.6,1.1
0.382,12.7,0.519,4,16.7,10.1,8.3,1.1,1,10.1,1.2,1.4,2.6,0.063,0.2,-0.3,-0.1,0.9
0.382,12.2,0.475,5.7,13.1,9.3,9.3,2.5,2.1,10.5,0,1,1,0.052,-1.5,0.9,-0.6,0.3
0.353,21.1,0.548,11.2,25.7,18.1,11.8,1.7,1.2,13.4,3.6,2.5,6.1,0.147,0.5,1.2,1.7,1.9
0.353,14,0.532,0.8,7,3.7,9.8,2.3,0.3,8.6,1.5,0.8,2.3,0.099,0.5,-1.5,-1,0.3
0.353,0.9,0.333,0,12.1,5.8,7,0.6,0.4,9.4,-0.3,0.1,-0.2,-0.06,-5.8,-1.5,-7.3,-0.3
0.353,14.9,0.472,1.5,3.2,2.3,41.8,1.8,0,10.5,0.3,0.1,0.3,0.11,0,-5.4,-5.5,-0.1
0.353,19.7,0.522,1.8,8,4.8,40.6,1.9,0.3,12.9,2.6,0.8,3.3,0.136,4.4,-2.4,2,1.2
0.353,20.6,0.494,18.2,30.1,23.9,3.4,1.6,4.7,10.1,2.2,3.5,5.7,0.135,-1.8,1.1,-0.7,0.7
0.353,9.2,0.392,0.8,11,5.7,32.4,1.7,0.8,14.5,-0.3,0.3,0,0,-2.8,-1.9,-4.7,-0.3
0.353,10.8,0.496,1.9,9,5.3,6.5,1.8,0.7,8.4,0.7,1.4,2.1,0.048,-0.4,-0.8,-1.2,0.4
0.353,8.4,0.507,1.6,12.7,6.9,6.7,1.4,0.2,9.6,0.7,0.9,1.5,0.056,-1.7,-0.3,-2.1,0
0.353,13.5,0.574,9.1,16.7,12.7,1.9,1.1,8.3,13.2,0.3,0.4,0.6,0.128,-3.7,3.6,0,0.1
0.806,20.6,0.591,1.1,9.2,5.3,14.6,1.7,1.9,9.9,4.6,2.7,7.3,0.169,3.4,-0.9,2.5,2.4
0.806,19.3,0.546,10.2,18.3,14.4,9,0.7,2.3,10.2,1.8,1.5,3.3,0.157,-1.6,-1.5,-3.1,-0.3
0.806,0.7,0.218,1,15.4,8.5,6.7,0.7,4.1,19.5,-0.6,0.3,-0.3,-0.062,-8.5,2.5,-6,-0.2
0.806,21.5,0.583,15.6,14.5,15.1,2.6,1.7,5.2,7.2,0.2,0.1,0.3,0.239,-0.3,-0.1,-0.4,0
0.806,13.7,0.543,3.3,10.1,6.8,24.8,1.6,1.2,18.6,1.5,1.5,3,0.12,-1.8,0.4,-1.4,0.2
0.806,19.1,0.544,9.9,21,15.7,15.1,1.9,2.5,11.7,1.5,1.4,2.9,0.188,-0.3,2.5,2.2,0.8
0.806,12.9,0.727,10.8,14.4,12.7,11.1,1.4,1,26.7,0.2,0.1,0.3,0.173,-0.3,1,0.7,0
0.806,12.5,0.561,2.5,10.9,6.9,14.6,2.3,0.9,14.5,1.9,2.5,4.4,0.123,0.1,1.7,1.9,1.7
0.806,12.3,0.496,2.2,9.9,6.2,9.9,3.1,1.3,10.1,0.1,0.8,1,0.092,-1.4,0.4,-1,0.1
0.806,16.5,0.543,5,21.8,13.7,15.5,2.5,3.1,13.4,2.8,4.6,7.4,0.167,1,4.1,5.1,3.8
0.806,14.2,0.577,11.5,18.8,15.3,2.4,0.8,6.4,19.1,0.3,0.7,1,0.128,-4.2,1.5,-2.7,-0.1
0.806,27.5,0.627,2.3,11.6,7.1,38.8,3.2,0.5,14.4,9,3.6,12.6,0.282,8.9,0.5,9.5,6.2
0.806,15.1,0.556,9.2,26.6,18.2,14.7,1.3,5.2,22.7,1.2,2.7,3.9,0.15,-2,5.4,3.5,1.7
0.806,13.3,0.581,5.9,14.7,10.5,6.6,1.2,0.5,9.5,3.2,2.5,5.6,0.14,0.6,0.4,1,1.4
0.806,14.7,0.551,2.9,5.9,4.5,13.7,1.9,0.5,9.5,1.1,0.8,1.9,0.125,0,-1.8,-1.8,0
0.672,11.5,0.569,1.2,7.1,4.1,14.2,2.3,0.8,14,1.5,1.4,2.9,0.106,0.2,-0.4,-0.2,0.6
0.672,8.2,0.448,5.4,11,8.2,16,1.9,1.3,20.4,-0.3,0.9,0.6,0.039,-2.8,0.9,-1.8,0
0.672,14.3,0.549,7.6,15.8,11.7,10.4,1.3,1.3,13.4,2.2,2.2,4.4,0.112,-0.8,0.5,-0.3,0.8
0.672,18.4,0.554,10.2,19.2,14.6,5.3,1.1,4.7,8.8,1.2,1,2.3,0.161,-1.1,1.4,0.3,0.4
0.672,5.6,0.444,4,11.1,7.5,5.5,1.8,0.8,16.2,-0.2,0.2,0,0.006,-5.7,-0.8,-6.4,-0.2
0.672,18.1,0.582,9.6,28.2,18.8,7.7,1,3.4,17.9,0.9,1.8,2.7,0.126,-2.7,1.5,-1.3,0.2
0.672,26.5,0.603,2.8,14.8,8.7,35,2.6,1.6,15.3,9.6,3.6,13.3,0.262,7.2,1.2,8.4,6.4
0.672,3.6,0.347,1.6,7.8,4.7,11.1,2.2,2,13.4,-0.4,0.2,-0.2,-0.04,-5.1,0,-5.1,-0.2
0.672,11.5,0.508,14.5,21.8,18.1,3.9,2.6,2.8,19.9,0.3,1.1,1.4,0.113,-3.5,2.6,-0.9,0.2
0.672,-22.5,0,16.4,27.8,22.1,6.6,2.5,3.9,18.2,-0.4,0,-0.3,-0.741,-28,-0.8,-28.8,-0.1
0.672,11.3,0.503,4.3,11.2,7.8,17.1,1.7,1,12.4,1.6,1.8,3.4,0.099,0.5,0.5,1,1.2
0.672,12.2,0.521,3,13.9,8.4,10.9,2.6,0.4,12.3,1.8,3.2,5,0.101,0.3,1.3,1.5,2.1
0.448,20,0.547,10.3,19.2,14.8,9.6,2.4,1.5,8.8,0.3,0.2,0.5,0.202,0.5,0.1,0.6,0.1
0.448,16.3,0.509,6.5,20.1,13.4,19.9,1.4,2.1,13.9,1,2.4,3.4,0.107,-0.7,2.7,2,1.5
0.448,14.4,0.574,1.4,10.7,6.1,23,1.8,0.5,17.5,1.6,1.5,3.1,0.122,0.8,0,0.8,0.8
0.448,16.6,0.542,2.2,12.5,7.4,21,1.6,0.5,12.1,2.1,1.9,4,0.123,0.8,-0.1,0.8,1.1
0.448,13.8,0.504,1.3,13.6,7.5,28.2,1.1,0,13.6,0.9,1.1,2,0.093,0,-0.8,-0.8,0.3
0.448,16.4,0.507,8.6,25.6,17.2,12.3,1.6,0.8,11.7,0.9,2.3,3.3,0.116,-1.7,1.1,-0.6,0.5
0.448,7.6,0.568,0.8,4.1,2.4,8.2,0.8,0.4,14.3,0.4,0.6,1,0.054,-1.2,-1.6,-2.9,-0.2
0.448,13,0.503,1.2,11,6.2,7.5,1.8,1.1,7.5,0.4,1.8,2.2,0.076,0.3,-1.1,-0.8,0.4
0.448,11.7,0.541,10.2,25.9,18.1,4.9,1.3,2.8,19.5,0.2,1.6,1.9,0.102,-3.6,2.6,-1,0.2
0.448,10.6,0.508,3.2,11.4,7.3,11.9,1.6,0.6,13.2,0.9,2.4,3.3,0.08,-1,1,0,1
0.448,20.5,0.551,2.4,12.9,7.7,30.4,1.9,0.7,10.1,1.8,1,2.8,0.181,4.6,-0.1,4.5,1.2
0.448,15,0.501,8.6,21.9,15.3,7.1,0.4,5.3,12.2,0.6,2.7,3.3,0.101,-3.4,2.2,-1.3,0.3
0.448,7.2,0.465,3.1,11.4,7.3,9.7,0.7,1.1,15.2,-1,0.8,-0.2,-0.011,-2.9,-1.4,-4.3,-0.5
0.448,16,0.514,12.9,20.6,16.8,10.9,0.7,3.2,10.3,1.5,1.4,2.9,0.148,-0.8,2.4,1.7,0.9
0.638,10.4,0.549,1.4,5.3,3.4,12.9,1.2,0,15.8,0,0,0,0.023,-1.7,-3.7,-5.4,-0.1
