Rk,Player,Pos,Age,WinPct,Team,G,MP,PER,TSpct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
343,Mo Williams,PG,31,0.659,POR,74,1834,11.8,0.507,0.335,0.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,1,1.2,2.2,0.056,-0.2,-1.7,-2,0
344,Earl Watson,PG,34,0.659,POR,24,161,2.1,0.47,0.636,0.364,3.4,6.6,5,22,1.6,0.4,57.1,8.1,-0.2,0.1,-0.1,-0.018,-5.1,-0.5,-5.6,-0.1
345,Thomas Robinson,PF,22,0.659,POR,70,873,14.1,0.502,0.003,0.345,13.1,24.6,18.9,6,1.3,1.6,14.5,19.7,0.4,1.2,1.6,0.09,-3.1,-0.1,-3.2,-0.3
346,C.J. McCollum,SG,22,0.659,POR,38,476,9,0.521,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,0.019,-2.1,-2,-4.1,-0.3
347,Wesley Matthews,SG,27,0.659,POR,82,2780,15.7,0.588,0.506,0.298,2,9.1,5.6,10.9,1.4,0.4,8.8,19.6,6.3,1.9,8.2,0.142,3.4,-0.9,2.4,3.1
348,Robin Lopez,C,25,0.659,POR,82,2603,17.7,0.605,0.002,0.376,13.6,15.3,14.5,4.2,0.5,3.7,10.1,14,7,2.6,9.5,0.176,1.4,1.6,3,3.3
349,Damian Lillard,PG,23,0.659,POR,82,2937,18.6,0.568,0.425,0.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25,7.8,1.8,9.6,0.157,4.4,-1.7,2.7,3.5
350,Meyers Leonard,C,21,0.659,POR,40,355,9.4,0.489,0.066,0.231,8,25.5,16.8,7.3,1,1,13,14.2,0.2,0.5,0.6,0.086,-3.6,0.4,-3.3,-0.1
351,Joel Freeland,C,26,0.659,POR,52,727,11.3,0.498,0.012,0.179,13.2,17.6,15.4,7.1,0.7,2.1,15.5,12.4,0.7,0.7,1.4,0.093,-1.8,1.1,-0.7,0.2
352,Allen Crabbe,SG,21,0.659,POR,15,100,7.7,0.475,0.424,0.121,1.1,8.5,4.8,8.7,1,0.7,7.9,16.5,0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1
353,Victor Claver,SF,25,0.659,POR,21,184,8.8,0.502,0.429,0.262,5.3,17.4,11.4,9.1,0.8,1.1,19,13.7,0,0.2,0.2,0.047,-3,0,-3,0
354,Nicolas Batum,SF,25,0.659,POR,82,2956,15.8,0.589,0.491,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,4.8,3.1,7.9,0.128,2.4,1.8,4.2,4.6
355,Will Barton,SG,23,0.659,POR,41,387,13.5,0.488,0.212,0.205,4.5,16,10.3,13.3,1.2,1.3,9.6,21.2,0.3,0.4,0.6,0.078,-1.9,-0.7,-2.7,-0.1
356,LaMarcus Aldridge,PF,28,0.659,POR,69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,4,3.5,7.5,0.144,-0.4,0.7,0.3,1.5
357,Royce White,PF,22,0.341,SAC,3,9,-8.3,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,-0.121,-9.1,-1.3,-10.4,0
358,Jason Thompson,PF,27,0.341,SAC,82,2007,11.1,0.523,0,0.292,8.5,21.3,14.8,4.1,0.8,2.3,14.5,14.4,0.9,1.7,2.7,0.064,-3,0.5,-2.5,-0.3
359,Isaiah Thomas,PG,24,0.341,SAC,72,2497,20.5,0.574,0.332,0.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,6.4,1.3,7.7,0.149,5,-2.1,2.9,3.1
360,Travis Outlaw,SF,29,0.341,SAC,63,1065,10.4,0.492,0.359,0.16,3.8,14.2,8.9,7,1,1.4,6.9,15.5,0.8,0.6,1.4,0.062,-1.6,-0.9,-2.5,-0.1
361,Hamady N'Diaye,C,27,0.341,SAC,14,74,2.9,0.318,0,0.111,7.5,20.1,13.7,5.6,0,4.4,24.1,7.4,-0.1,0.1,0,-0.008,-6.7,2.1,-4.6,0
362,Ben McLemore,SG,20,0.341,SAC,82,2187,7.7,0.485,0.437,0.211,2.7,9.5,6.1,5.8,1,0.7,11.5,16.9,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6
363,Ray McCallum,PG,22,0.341,SAC,45,897,9.7,0.439,0.197,0.143,2.2,7.8,5,21,1.2,0.8,10.9,17.6,0,0.4,0.4,0.02,-2.3,-1.7,-4.1,-0.5
364,Carl Landry,PF,30,0.341,SAC,18,233,11.2,0.563,0,0.283,7.2,20.6,13.8,3.4,0.7,0.3,11.8,14.5,0.3,0.1,0.4,0.088,-3,-1.9,-4.9,-0.2
365,DeMarcus Cousins,C,23,0.341,SAC,71,2298,26.1,0.555,0.006,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9
366,Tiago Splitter,C,29,0.756,SAS,59,1271,16.5,0.572,0.009,0.5,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,2.3,2.1,4.3,0.163,-0.1,2.1,1.9,1.3
367,Tony Parker,PG,31,0.756,SAS,68,1997,18.9,0.555,0.073,0.266,1,7.5,4.4,31.7,0.9,0.3,12.9,26.5,3.9,1.9,5.9,0.141,1.3,-1.8,-0.5,0.8
368,Patrick Mills,PG,25,0.756,SAS,81,1527,18.7,0.588,0.477,0.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,3.4,2.1,5.6,0.175,3.9,-0.6,3.3,2
369,Kawhi Leonard,SF,22,0.756,SAS,66,1923,19.4,0.602,0.282,0.195,4.6,18.9,12.1,10.4,3,1.9,10.3,18.3,3.8,3.9,7.7,0.193,2.3,3.4,5.8,3.8
370,Cory Joseph,SG,22,0.756,SAS,68,936,14.7,0.558,0.143,0.362,4,8.7,6.4,17.2,1.9,1.1,12.3,16.9,1.6,1.3,2.9,0.148,0,0.6,0.6,0.6
371,Damion James,G-F,26,0.756,SAS,5,50,4.1,0.304,0.222,0.222,2.4,23.8,13.5,7.5,0,1.4,9.2,9.8,-0.1,0.1,0,0.01,-6.7,1.2,-5.5,0
372,Danny Green,SG,26,0.756,SAS,68,1651,13.9,0.58,0.63,0.125,1.8,13.4,7.8,8.9,2,2.7,12.5,16.7,1.4,2.8,4.2,0.122,1.2,2.1,3.3,2.2
373,Manu Ginobili,SG,36,0.756,SAS,68,1550,20,0.59,0.411,0.3,2.3,12,7.3,29,2.3,0.8,16.4,24.7,3.3,2.4,5.7,0.176,3.6,0.4,4,2.4
374,Tim Duncan,C,37,0.756,SAS,74,2158,21.3,0.535,0.006,0.349,8.6,28.3,18.8,16,1,4.6,13.2,25.2,2.8,4.6,7.4,0.164,-0.9,4,3.2,2.8
375,Boris Diaw,PF,31,0.756,SAS,79,1974,14.1,0.578,0.193,0.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17,2.3,2.6,4.9,0.12,0.2,1.4,1.6,1.8
376,Matt Bonner,PF,33,0.756,SAS,61,690,11.2,0.582,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1,1.8,0.123,-0.4,0.7,0.3,0.4
377,Marco Belinelli,SF,27,0.756,SAS,80,2016,15,0.605,0.422,0.188,1,11.2,6.3,13.2,1.3,0.3,11.2,19,3.5,2.4,5.9,0.14,1.9,-0.3,1.7,1.9
378,Aron Baynes,C,27,0.756,SAS,53,491,9.7,0.467,0,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,0.055,-3.7,-0.3,-4,-0.2
379,Jeff Ayres,PF,26,0.756,SAS,73,952,11.1,0.605,0,0.316,11,19.2,15.3,8.6,0.7,1.9,24.1,12.4,1,1.4,2.4,0.121,-1.6,2.1,0.5,0.6
380,Jonas Valanciunas,C,21,0.585,TOR,81,2282,16.1,0.579,0.001,0.385,11.5,25.1,18.2,4.2,0.5,2.5,14.7,18.5,3.5,3.2,6.7,0.141,-1.6,0.2,-1.4,0.3
381,Julyan Stone,SG,25,0.585,TOR,21,120,6.6,0.491,0.471,0.176,1.9,17.6,9.7,14.5,1.3,0,21.4,8.8,0,0.1,0.2,0.061,-3.5,0.5,-3,0
382,Terrence Ross,SG,22,0.585,TOR,81,2159,12,0.553,0.543,0.13,2.3,11.3,6.8,6.1,1.5,1,10,18.6,2,2.2,4.2,0.094,0.6,-0.7,-0.1,1
