PelicansAtWarriors,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
WarrAtPelicans,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
MavsAtRockets,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208
RocketsAtMavs,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
SpursAtClippers,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
ClipsAtSpurs,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
Blazers_Grizz,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
GrizzAtBlazers,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
Nets_Hawks,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
HawksAtNets,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185
CelticsAtCavs,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
CavsAtCeltics,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208
BucksAtBulls,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182
BullsAtBucks,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
WizAtRaptors,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208
RaptorsAtWiz,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21
GrizzAtWarriors,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
WarriorsAtGrizz,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
ClipsAtRockets,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208
RocketsAtClips,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
RaptorsAtHawks,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
HawksAtRaptors,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208
BullsAtCavs,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
CavsAtBulls,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182
