0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
1,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
1,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
0,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
0,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
0,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
1,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
0,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
1,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
0,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
1,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
0,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
0,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
1,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.504,12.4,28,0.22,0.488,11,74.7,0.194
0,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.504,12.4,28,0.22,0.488,11,74.7,0.194
0,0.504,12.4,28,0.22,0.488,11,74.7,0.194,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
0,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,0.504,12.4,28,0.22,0.488,11,74.7,0.194
1,0.515,14.3,21,0.208,0.51,14,74.4,0.196,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
