PLAYER_ID,PLAYER,Team,WinPct,OPTPM,DPTPM,PTPM,Scoring,Passing,OffPoss,RimProtection,DefPoss,TeamDefEffect,StablizedPTPM
203924,Jerami Grant,PHI,0.235,-2.11,1.23,-0.88,-0.09,-0.76,0.06,0.94,-0.06,0.42,-1.3
201601,Luc Mbah a Moute,PHI,0.235,-2.23,0.76,-1.47,-0.2,-0.67,0.09,0.16,0.69,0.36,-1.6
203138,Hollis Thompson,PHI,0.235,-0.82,-0.81,-1.63,0.07,-0.61,0.7,-0.62,0.25,0.29,-1.8
203960,JaKarr Sampson,PHI,0.235,-2.46,0.38,-2.08,0.01,-0.29,-0.81,1.01,-0.3,-0.16,-2.2
203909,KJ McDaniels,PHI,0.235,-2.71,0.53,-2.18,-0.09,-0.29,-0.84,0.65,-0.55,0.51,-2.2
203487,Michael Carter-Williams,PHI,0.235,-3.29,0.94,-2.35,-0.49,2.12,-2.66,0.43,-0.12,0.79,-2.4
203100,Tony Wroten,PHI,0.235,-2.43,-1.93,-4.36,0.27,1.52,-2.83,-0.45,-0.23,-0.44,-4
203561,Brandon Davies,PHI,0.235,-2.4,-2.57,-4.97,-0.39,-0.22,-0.1,-0.41,0.33,-1.39,-4.1
201148,Brandan Wright,PHX,0.515,2.17,0.21,2.38,1.05,-0.91,1.63,0.73,0.24,-0.38,1.2
200782,PJ Tucker,PHX,0.515,-0.61,1.26,0.65,0.04,-0.43,0.76,-0.03,1.51,0.41,0.2
202738,Isaiah Thomas,PHX,0.515,1.45,-1.51,-0.06,1.23,1.17,-1.08,-0.35,-0.33,-0.15,-0.5
202339,Eric Bledsoe,PHX,0.515,0.25,-0.43,-0.18,0.68,1.7,-1.54,-0.34,0.47,0.14,-0.5
201609,Goran Dragic,PHX,0.515,0.34,-0.68,-0.34,0.63,0.79,-0.57,0.18,-0.59,0.11,-0.6
202694,Marcus Morris,PHX,0.515,0.41,-1.65,-1.24,0.53,-0.29,0.6,-0.26,0.24,-0.75,-1.5
203458,Alex Len,PHX,0.515,-1.21,-0.07,-1.28,0.15,-1.15,0.7,-0.08,0.18,0.3,-1.5
203101,Miles Plumlee,PHX,0.515,-1.81,0,-1.82,-0.3,-1,0.9,0.15,0.53,-0.13,-2
101123,Gerald Green,PHX,0.515,-0.73,-1.58,-2.32,0.77,-0.2,-0.87,0.08,-0.25,-0.72,-2.3
203086,Meyers Leonard,POR,0.667,0.95,2.6,3.55,0.97,-0.84,0.71,1.31,0,1.04,1.4
200746,LaMarcus Aldridge,POR,0.667,0.56,1.19,1.75,0.88,-0.53,0.28,0.91,0.07,0.32,1.2
202083,Wesley Matthews,POR,0.667,0.92,0.45,1.37,0.89,-0.11,0.2,0.15,0.06,0.59,0.9
203459,Allen Crabbe,POR,0.667,-0.29,1.29,1,0.05,-0.25,0.84,0.87,0.03,0.48,-0.2
203081,Damian Lillard,POR,0.667,1.51,-0.57,0.94,0.98,1.5,-0.87,-0.58,0.14,0.51,0.5
200777,Joel Freeland,POR,0.667,-1.41,2.1,0.7,-0.22,-0.83,0.94,0.68,-0.23,1.48,-0.5
201577,Robin Lopez,POR,0.667,-0.6,1.07,0.46,0.1,-0.63,0.83,1.01,-0.82,0.71,-0.2
203468,CJ McCollum,POR,0.667,-0.87,1.19,0.32,0.16,-0.26,0.19,-0.12,0.23,1.34,-0.7
201587,Nicolas Batum,POR,0.667,-1.31,0.87,-0.43,-0.39,0.95,-0.21,0.62,0.13,0.36,-0.7
2581,Steve Blake,POR,0.667,-0.64,-0.1,-0.74,-0.31,1.73,-0.49,0.23,-0.51,0.45,-1.1
2549,Chris Kaman,POR,0.667,-1.97,-0.61,-2.58,0.12,-0.6,-0.33,0.16,-0.73,0.24,-2.6
201954,Darren Collison,SAC,0.328,0.27,0.27,0.53,0.64,1.15,-0.98,0.67,0.03,-0.1,0.1
202326,DeMarcus Cousins,SAC,0.328,-0.85,1.16,0.31,1.2,0.33,-2.19,0.38,0.66,0.45,-0.1
200752,Rudy Gay,SAC,0.328,0.12,-1.06,-0.95,0.7,0.69,-0.81,0.01,-0.26,-0.24,-1.2
201171,Carl Landry,SAC,0.328,-0.22,-1.89,-2.11,0.58,-1.03,0.62,-0.26,-0.86,-0.19,-2.2
203463,Ben McLemore,SAC,0.328,-1.31,-1.59,-2.9,0.34,-0.58,-0.22,-0.34,-0.84,0.12,-2.8
201956,Omri Casspi,SAC,0.328,-0.57,-2.33,-2.9,0.6,-0.22,-0.41,-0.07,-0.73,-0.83,-2.8
201574,Jason Thompson,SAC,0.328,-2.23,-1.51,-3.74,-0.43,-0.88,0.68,-0.27,-0.38,-0.22,-3.5
202682,Derrick Williams,SAC,0.328,-1.43,-2.69,-4.12,0.02,-0.92,0.56,-0.33,-0.24,-1.16,-3.7
203917,Nik Stauskas,SAC,0.328,-2.2,-1.94,-4.14,-0.57,-0.4,0.54,0.54,-1,-0.99,-3.7
2501,Reggie Evans,SAC,0.328,-2.06,-2.71,-4.77,-0.48,-0.91,0.93,-1.02,0.29,-0.81,-4
203492,Ray McCallum,SAC,0.328,-2.87,-3.38,-6.25,-0.67,0.18,-0.33,-0.94,-0.39,-0.93,-5
201196,Ramon Sessions,SAC,0.328,-2.76,-4.04,-6.81,-0.5,0.97,-1.23,-1.01,-1.05,-0.93,-5.5
202695,Kawhi Leonard,SAS,0.627,0.49,4.11,4.59,0.62,0.05,0.19,0.9,2.27,1.13,3.2
201980,Danny Green,SAS,0.627,0.13,2.15,2.28,0.54,-0.29,0.34,0.64,0.88,0.82,1.6
1495,Tim Duncan,SAS,0.627,-0.2,2.28,2.08,0.39,0.24,-0.12,0.99,0.72,0.63,1.4
202709,Cory Joseph,SAS,0.627,0.45,0.79,1.24,0.3,0.57,0.29,0.33,-0.17,0.82,0.6
2588,Matt Bonner,SAS,0.627,-0.04,0.95,0.91,0.06,-0.55,1.31,1.01,-0.72,0.56,0
201168,Tiago Splitter,SAS,0.627,-0.11,0.94,0.83,0.25,0.07,0.37,0.12,0.11,0.94,-0.2
1938,Manu Ginobili,SAS,0.627,0.05,0.11,0.16,0.5,2.07,-1.68,-0.22,-0.19,0.89,-0.3
203382,Aron Baynes,SAS,0.627,-0.63,-0.31,-0.94,0.59,-0.88,0.14,-0.06,-0.62,0.65,-1.4
2564,Boris Diaw,SAS,0.627,-1.18,-1.38,-2.56,-0.08,0.66,-0.42,-0.78,-0.66,0.62,-2.6
201158,Marco Belinelli,SAS,0.627,0.06,-2.89,-2.83,0.48,-0.08,0.21,-1,-0.61,-0.35,-2.7
