Rk,Player,Pos,Age,Team,WinPct,G,GS,Mpg,MP,PER,TSpct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,BLK,TOV,PF,PTS,3PA,3P,FTA
242,Nikola Pekovic,C,28,MIN,0.488,54,54,30.8,1663.2,20.7,0.582,13.1,17.6,15.3,5.2,0.9,1.1,9.4,4.3,1.5,5.9,0.169,1.4,-1.2,0.2,0.9,0.4,1.6,2.4,17.5,0,,4.6
243,Shabazz Muhammad,SG,21,MIN,0.488,37,0,7.8,288.6,13.1,0.505,8.8,11.2,10,3.4,1.4,0.3,10.2,0.1,0.2,0.3,0.053,-3.1,-3.1,-6.2,-0.3,0,0.4,0.6,3.9,0.3,0.273,1.1
244,Kevin Martin,SG,30,MIN,0.488,68,68,32,2176,16.3,0.553,1.7,8.7,5.1,9.2,1.5,0.2,8.3,3.8,1.5,5.3,0.117,1.4,-2,-0.6,0.8,0.1,1.6,1.8,19.1,4.4,0.387,5
245,Kevin Love,PF,25,MIN,0.488,77,77,36.3,2795.1,26.9,0.591,8.5,29.5,18.7,21.4,1,1,10.3,10.6,3.7,14.3,0.245,7.2,1.2,8.4,7.3,0.5,2.5,1.8,26.1,6.6,0.376,8.2
246,Robbie Hummel,SF,24,MIN,0.488,53,5,12.4,657.2,9.6,0.492,5.7,16.6,11,5,1.2,0.2,5.2,0.6,0.6,1.1,0.084,-1.4,-0.7,-2.1,0,0,0.2,1.1,3.4,1.7,0.36,0.3
247,Gorgui Dieng,C,24,MIN,0.488,60,15,13.6,816,16.5,0.534,13.4,26.9,20,7.2,1.8,4.6,16.8,0.7,1.5,2.2,0.129,-2.4,3.1,0.7,0.5,0.8,0.9,1.8,4.8,0,1,1.6
248,Dante Cunningham,PF,26,MIN,0.488,81,7,20.2,1636.2,12.6,0.474,7.3,14.9,11,7.7,1.9,2.7,7.2,0.9,2,2.9,0.085,-2.2,2.1,-0.1,0.8,0.7,0.5,1.8,6.3,0.1,0,0.8
249,Chase Budinger,SF,25,MIN,0.488,41,8,18.3,750.3,9.7,0.505,2.7,12.5,7.5,6.2,1.2,0.2,8.1,0.3,0.6,0.9,0.059,-1.3,-1.3,-2.6,-0.1,0,0.6,1.4,6.7,2.9,0.35,1
250,Corey Brewer,SF,27,MIN,0.488,81,81,32.2,2608.2,12.7,0.55,2.6,6.2,4.3,7.9,2.9,0.9,10.4,2.4,2.7,5.2,0.095,0.4,1.3,1.7,2.4,0.4,1.3,2.6,12.3,2.6,0.28,2.8
251,Jose Barea,PG,29,MIN,0.488,79,1,18.6,1469.4,11.6,0.471,1.2,10.5,5.7,32.7,0.9,0,15.2,-0.1,0.9,0.7,0.024,-0.9,-2.7,-3.6,-0.6,0,1.6,1.6,8.4,2.9,0.316,1.3
