Rk,Player,Pos,Age,Team,WinPct,G,GS,Mpg,MP,PER,TSpct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,BLK,TOV,PF,PTS,3PA,3P,FTA
313,Maurice Harkless,SF,20,ORL,0.28,80,41,24.4,1952,11.8,0.542,4,11.4,7.7,6.4,2.5,2,13.6,0.6,2.1,2.8,0.068,-1.6,1.4,-0.1,0.9,0.6,1.1,1.8,7.4,1.9,0.383,1.8
314,Arron Afflalo,SG,28,ORL,0.28,73,73,35,2555,16,0.574,1.4,10.2,5.8,16.9,0.7,0.1,11.2,4.3,1,5.3,0.099,1.7,-2.3,-0.6,0.9,0,2,1.9,18.2,4.1,0.427,4.6
315,Thaddeus Young,PF,25,PHI,0.232,79,78,34.4,2717.6,16.6,0.512,6.3,12.8,9.5,11.8,3,1.1,10.7,1.2,2.3,3.5,0.062,0.2,-0.4,-0.2,1.2,0.5,2.1,2.7,17.9,3.7,0.308,2.9
316,Tony Wroten,SG,20,PHI,0.232,72,16,24.5,1764,12.9,0.493,4.1,10.1,7,20.9,2.1,0.7,17.7,-1.8,0.9,-0.9,-0.025,-2.3,-2.3,-4.6,-1.2,0.2,2.8,2.1,13,2.6,0.213,4.5
317,Elliot Williams,SG,24,PHI,0.232,67,2,17.3,1159.1,8.7,0.519,2.7,9.7,6.1,9.4,1.5,0.2,14.9,0,0.3,0.3,0.014,-3.2,-2.6,-5.7,-1.1,0,1,1.9,6,1.9,0.296,1.8
318,Casper Ware,PG,24,PHI,0.232,9,0,12.9,116.1,13,0.538,0,8.7,4.2,13.7,3.3,0,10.1,0.1,0.1,0.2,0.071,-1.1,-2.5,-3.6,0,0,0.6,1.2,5.3,2.3,0.333,0.7
319,Hollis Thompson,SF,22,PHI,0.232,77,41,22.6,1740.2,9.5,0.57,4.4,11.2,7.7,6.1,1.5,0.5,12.9,1.4,0.6,2,0.055,-1.8,-1.2,-3,-0.4,0.2,0.8,1.9,6,2.2,0.401,0.9
320,Daniel Orton,C,23,PHI,0.232,22,4,11.4,250.8,10.5,0.54,6.6,20.2,13.1,8.5,1.2,5.1,23,0,0.2,0.3,0.049,-5.7,1.6,-4.1,-0.1,0.7,0.8,1.7,3,0,,1.4
321,Arnett Moultrie,PF,23,PHI,0.232,12,2,15.6,187.2,6.7,0.448,6.1,14.4,10.1,1.5,2.1,1.7,14.8,-0.1,0.1,0,0.007,-6.4,-0.5,-7,-0.2,0.3,0.6,1.8,3,0,,0.4
322,Darius Johnson-Odom,SG,24,PHI,0.232,3,0,5,15,-23,0,0,15,7.2,8.5,3.2,0,20.2,-0.2,0,-0.2,-0.661,-22.4,-3,-25.5,-0.1,0,0.7,1,0,1,0,0.7
323,Brandon Davies,PF,22,PHI,0.232,51,0,11.3,576.3,7.5,0.476,6.9,13.9,10.2,7.1,2,1.1,18.8,-0.3,0.4,0.1,0.008,-5.3,-0.6,-5.9,-0.6,0.2,0.7,1.8,2.8,0.2,0.2,1
324,Michael Carter-Williams,PG,22,PHI,0.232,70,70,34.5,2415,15.5,0.48,4.3,15.6,9.8,30.2,2.6,1.4,16.9,-0.8,2.1,1.3,0.026,-0.6,0.4,-0.2,1.1,0.6,3.5,3,16.7,3,0.264,5.2
325,Lorenzo Brown,PG,23,PHI,0.232,26,0,8.6,223.6,8.2,0.349,3.7,10,6.8,27.5,2.8,1.1,14.9,-0.5,0.2,-0.3,-0.068,-5,-1.8,-6.8,-0.3,0.1,0.6,0.7,2.5,1.2,0.1,0.5
326,James Anderson,SG,24,PHI,0.232,80,62,28.9,2312,10.9,0.53,2.7,11.7,7,9.9,1.6,1,12.2,0.9,0.9,1.9,0.039,-1.2,-1.3,-2.5,-0.3,0.4,1.3,1.9,10.1,4.4,0.328,1.3
327,P.J. Tucker,SF,28,PHO,0.585,81,81,30.7,2486.7,13.3,0.54,7.3,16.6,11.9,8.1,2.2,0.7,12.7,3.3,2.8,6.1,0.117,0.7,1.6,2.3,2.7,0.3,1.3,2.5,9.4,2.4,0.387,2.5
328,Ish Smith,PG,25,PHO,0.585,70,1,14.4,1008,11.7,0.438,3.5,10.9,7.2,26,2.4,1,17.9,0,1,1,0.048,-2.7,0.5,-2.3,-0.1,0.2,0.9,0.9,3.7,0.3,0.043,0.6
329,Shavlik Randolph,PF,30,PHO,0.585,14,0,6.8,95.2,7.7,0.531,8.3,21.2,14.8,1.4,1.6,0.8,21,0,0.1,0.1,0.06,-4.7,-0.6,-5.3,-0.1,0.1,0.4,1.1,1.4,0,,0.8
330,Miles Plumlee,C,25,PHO,0.585,80,79,24.6,1968,14.6,0.529,11.3,24.4,17.9,3.3,1.3,3.5,15.4,1.2,2.8,4,0.098,-2.8,1.3,-1.5,0.2,1.1,1.4,2.3,8.1,0,,1.7
331,Markieff Morris,PF,24,PHO,0.585,81,0,26.6,2154.6,18.4,0.564,7.3,18,12.6,10.9,1.6,1.8,12.9,4,2.4,6.4,0.143,0.5,0.4,1,1.6,0.6,1.8,2.9,13.8,1.3,0.315,4
332,Marcus Morris,SF,24,PHO,0.585,82,1,22,1804,14.8,0.552,5.2,14.6,9.9,7.6,2,0.8,11.6,2.3,1.8,4.2,0.111,0.6,-0.5,0.2,1,0.2,1.2,1.9,9.7,3.2,0.381,1.9
333,Alex Len,C,20,PHO,0.585,42,3,8.6,361.2,7.3,0.469,12.1,18.6,15.3,1.6,0.6,3.8,22.1,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,0.4,0.6,1.6,2,0,,0.7
334,Viacheslav Kravtsov,C,26,PHO,0.585,20,0,3,60,10.5,0.54,17.2,15.2,16.2,2.5,0,1.3,24.5,0,0,0,0.027,-4.1,-3.1,-7.2,-0.1,0.1,0.3,0.4,1,0,,0.4
335,Gerald Green,SG,28,PHO,0.585,82,48,28.4,2328.8,16.5,0.585,2.3,10.9,6.6,8.6,1.5,1.4,11.6,4.2,1.9,6.1,0.126,2.4,-1.4,1,1.8,0.5,1.8,2.7,15.8,6.2,0.4,2.8
336,Archie Goodwin,SG,19,PHO,0.585,52,0,10.3,535.6,10.3,0.507,5.3,13,9.2,5.7,1.9,1.6,18.7,-0.3,0.5,0.2,0.018,-3.9,-0.4,-4.3,-0.3,0.2,0.8,0.9,3.7,0.7,0.139,1.1
337,Channing Frye,PF,30,PHO,0.585,82,82,28.2,2312.4,13.2,0.555,3.6,16.6,10.1,6.4,1.3,2.1,9.8,2.9,2.4,5.3,0.109,0.9,0.2,1.1,1.8,0.8,1.1,3,11.1,5.3,0.37,1.2
338,Goran Dragic,SG,27,PHO,0.585,76,75,35.1,2667.6,21.4,0.604,2.9,7.4,5.2,28.1,2,0.6,14.3,8.4,2,10.3,0.186,4.9,-1.1,3.9,4,0.3,2.8,2.7,20.3,3.9,0.408,5.5
339,Dionte Christmas,SF,27,PHO,0.585,31,0,6.4,198.4,11.1,0.489,7.4,14.1,10.8,5.8,0.5,1.1,7.6,0.2,0.1,0.3,0.083,-1.1,-2.5,-3.6,-0.1,0.1,0.2,0.6,2.3,1,0.29,0.8
340,Eric Bledsoe,PG,24,PHO,0.585,43,40,32.9,1414.7,19.6,0.578,2.1,13.8,8,27,2.4,0.8,17.8,2.6,1.6,4.1,0.14,2.3,0.6,2.9,1.8,0.3,3.3,2.3,17.7,3.3,0.357,5.5
341,Leandro Barbosa,PG,31,PHO,0.585,20,0,18.4,368,11.5,0.506,1.5,9.7,5.6,13.4,1,0.8,11.4,0.2,0.2,0.4,0.058,-2.2,-1.8,-3.9,-0.2,0.2,1,1.5,7.5,1.3,0.28,2
342,Dorell Wright,SF,28,POR,0.659,68,13,14.5,986,11.9,0.524,3.2,17.5,10.5,9.4,1.2,1.1,10.6,0.9,1,1.9,0.091,-0.1,-0.3,-0.4,0.4,0.2,0.6,0.9,5,3,0.342,1
343,Mo Williams,PG,31,POR,0.659,74,0,24.8,1835.2,11.8,0.507,2.5,6.4,4.5,26.7,1.5,0.4,17.3,1,1.2,2.2,0.056,-0.2,-1.7,-2,0,0.1,2,2.7,9.7,3,0.369,1.2
344,Earl Watson,PG,34,POR,0.659,24,0,6.7,160.8,2.1,0.47,3.4,6.6,5,22,1.6,0.4,57.1,-0.2,0.1,-0.1,-0.018,-5.1,-0.5,-5.6,-0.1,0,0.7,1.4,0.5,0.3,0.286,0.2
345,Thomas Robinson,PF,22,POR,0.659,70,0,12.5,875,14.1,0.502,13.1,24.6,18.9,6,1.3,1.6,14.5,0.4,1.2,1.6,0.09,-3.1,-0.1,-3.2,-0.3,0.3,0.8,1.9,4.8,0,0,1.4
346,C.J. McCollum,SG,22,POR,0.659,38,0,12.5,475,9,0.521,1.6,9.2,5.4,8.7,1.5,0.3,15.4,-0.2,0.3,0.2,0.019,-2.1,-2,-4.1,-0.3,0.1,0.9,1.4,5.3,2.1,0.375,0.9
347,Wesley Matthews,SG,27,POR,0.659,82,82,33.9,2779.8,15.7,0.588,2,9.1,5.6,10.9,1.4,0.4,8.8,6.3,1.9,8.2,0.142,3.4,-0.9,2.4,3.1,0.2,1.3,2.1,16.4,6.2,0.393,3.7
348,Robin Lopez,C,25,POR,0.659,82,82,31.7,2599.4,17.7,0.605,13.6,15.3,14.5,4.2,0.5,3.7,10.1,7,2.6,9.5,0.176,1.4,1.6,3,3.3,1.7,1,2.4,11.1,0,0,3
349,Damian Lillard,PG,23,POR,0.659,82,82,35.8,2935.6,18.6,0.568,1.3,9.2,5.3,25.1,1.1,0.5,11.5,7.8,1.8,9.6,0.157,4.4,-1.7,2.7,3.5,0.3,2.4,2.4,20.7,6.8,0.394,5.2
350,Meyers Leonard,C,21,POR,0.659,40,0,8.9,356,9.4,0.489,8,25.5,16.8,7.3,1,1,13,0.2,0.5,0.6,0.086,-3.6,0.4,-3.3,-0.1,0.1,0.4,1.9,2.5,0.2,0,0.5
351,Joel Freeland,C,26,POR,0.659,52,0,14,728,11.3,0.498,13.2,17.6,15.4,7.1,0.7,2.1,15.5,0.7,0.7,1.4,0.093,-1.8,1.1,-0.7,0.2,0.4,0.6,1.8,3.3,0,0,0.6
352,Allen Crabbe,SG,21,POR,0.659,15,0,6.7,100.5,7.7,0.475,1.1,8.5,4.8,8.7,1,0.7,7.9,0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1,0.1,0.2,0.7,2.2,0.9,0.429,0.3
353,Victor Claver,SF,25,POR,0.659,21,0,8.8,184.8,8.8,0.502,5.3,17.4,11.4,9.1,0.8,1.1,19,0,0.2,0.2,0.047,-3,0,-3,0,0.1,0.5,0.8,2.2,0.9,0.167,0.5
354,Nicolas Batum,SF,25,POR,0.659,82,82,36,2952,15.8,0.589,4.3,17.8,11.1,20.9,1.3,1.3,18.6,4.8,3.1,7.9,0.128,2.4,1.8,4.2,4.6,0.7,2.5,1.9,13,4.9,0.361,2.5
355,Will Barton,SG,23,POR,0.659,41,0,9.4,385.4,13.5,0.488,4.5,16,10.3,13.3,1.2,1.3,9.6,0.3,0.4,0.6,0.078,-1.9,-0.7,-2.7,-0.1,0.2,0.4,0.8,4,0.8,0.303,0.8
356,LaMarcus Aldridge,PF,28,POR,0.659,69,69,36.2,2497.8,21.8,0.507,7.2,25.5,16.5,13,1.3,1.9,7.2,4,3.5,7.5,0.144,-0.4,0.7,0.3,1.5,1,1.8,2.1,23.2,0.2,0.2,5.2
357,Royce White,PF,22,SAC,0.341,3,0,3,9,-8.3,0,0,0,0,0,0,0,0,0,0,0,-0.121,-9.1,-1.3,-10.4,0,0,0,0.7,0,0,,0
358,Jason Thompson,PF,27,SAC,0.341,82,61,24.5,2009,11.1,0.523,8.5,21.3,14.8,4.1,0.8,2.3,14.5,0.9,1.7,2.7,0.064,-3,0.5,-2.5,-0.3,0.7,1.2,3.1,7.1,0,,1.8
359,Isaiah Thomas,PG,24,SAC,0.341,72,54,34.7,2498.4,20.5,0.574,2.1,7.5,4.7,32.2,1.9,0.3,14.3,6.4,1.3,7.7,0.149,5,-2.1,2.9,3.1,0.1,3,2.6,20.3,5.1,0.349,5.7
360,Travis Outlaw,SF,29,SAC,0.341,63,4,16.9,1064.7,10.4,0.492,3.8,14.2,8.9,7,1,1.4,6.9,0.8,0.6,1.4,0.062,-1.6,-0.9,-2.5,-0.1,0.3,0.4,1.5,5.4,1.9,0.35,0.8
361,Hamady N'Diaye,C,27,SAC,0.341,14,0,5.3,74.2,2.9,0.318,7.5,20.1,13.7,5.6,0,4.4,24.1,-0.1,0.1,0,-0.008,-6.7,2.1,-4.6,0,0.3,0.2,1.1,0.4,0,,0.1
362,Ben McLemore,SG,20,SAC,0.341,82,55,26.7,2189.4,7.7,0.485,2.7,9.5,6.1,5.8,1,0.7,11.5,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6,0.2,1.2,2.5,8.8,3.6,0.32,1.7
363,Ray McCallum,PG,22,SAC,0.341,45,10,19.9,895.5,9.7,0.439,2.2,7.8,5,21,1.2,0.8,10.9,0,0.4,0.4,0.02,-2.3,-1.7,-4.1,-0.5,0.2,0.9,1.5,6.2,1.3,0.373,1
364,Carl Landry,PF,30,SAC,0.341,18,1,12.9,232.2,11.2,0.563,7.2,20.6,13.8,3.4,0.7,0.3,11.8,0.3,0.1,0.4,0.088,-3,-1.9,-4.9,-0.2,0.1,0.5,1.9,4.2,0,,0.9
365,DeMarcus Cousins,C,23,SAC,0.341,71,71,32.4,2300.4,26.1,0.555,10.6,30.5,20.4,17.8,2.4,3.2,14.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,1.3,3.5,3.8,22.7,0.1,0,8.4
366,Tiago Splitter,C,29,SAS,0.756,59,50,21.5,1268.5,16.5,0.572,11.4,20.5,16.1,10.1,1.2,1.8,15.1,2.3,2.1,4.3,0.163,-0.1,2.1,1.9,1.3,0.5,1.3,2,8.2,0.1,0,2.9
367,Tony Parker,PG,31,SAS,0.756,68,68,29.4,1999.2,18.9,0.555,1,7.5,4.4,31.7,0.9,0.3,12.9,3.9,1.9,5.9,0.141,1.3,-1.8,-0.5,0.8,0.1,2.2,1.3,16.7,1,0.373,3.6
368,Patrick Mills,PG,25,SAS,0.756,81,2,18.9,1530.9,18.7,0.588,2.6,9.6,6.2,15.3,2.3,0.4,8.2,3.4,2.1,5.6,0.175,3.9,-0.6,3.3,2,0.1,0.8,1.4,10.2,3.9,0.425,1
369,Kawhi Leonard,SF,22,SAS,0.756,66,65,29.1,1920.6,19.4,0.602,4.6,18.9,12.1,10.4,3,1.9,10.3,3.8,3.9,7.7,0.193,2.3,3.4,5.8,3.8,0.8,1.2,1.9,12.8,2.8,0.379,1.9
370,Cory Joseph,SG,22,SAS,0.756,68,19,13.8,938.4,14.7,0.558,4,8.7,6.4,17.2,1.9,1.1,12.3,1.6,1.3,2.9,0.148,0,0.6,0.6,0.6,0.2,0.6,1.2,5,0.6,0.316,1.4
371,Damion James,G-F,26,SAS,0.756,5,1,10,50,4.1,0.304,2.4,23.8,13.5,7.5,0,1.4,9.2,-0.1,0.1,0,0.01,-6.7,1.2,-5.5,0,0.2,0.2,0.6,1.2,0.4,0,0.4
372,Danny Green,SG,26,SAS,0.756,68,59,24.3,1652.4,13.9,0.58,1.8,13.4,7.8,8.9,2,2.7,12.5,1.4,2.8,4.2,0.122,1.2,2.1,3.3,2.2,0.9,1.1,1.6,9.1,4.7,0.415,0.9
373,Manu Ginobili,SG,36,SAS,0.756,68,3,22.8,1550.4,20,0.59,2.3,12,7.3,29,2.3,0.8,16.4,3.3,2.4,5.7,0.176,3.6,0.4,4,2.4,0.3,2,1.9,12.3,3.8,0.349,2.8
374,Tim Duncan,C,37,SAS,0.756,74,74,29.2,2160.8,21.3,0.535,8.6,28.3,18.8,16,1,4.6,13.2,2.8,4.6,7.4,0.164,-0.9,4,3.2,2.8,1.9,2.1,1.8,15.1,0.1,0,4.3
375,Boris Diaw,PF,31,SAS,0.756,79,24,25,1975,14.1,0.578,4.4,13.8,9.3,16.3,1.1,1.2,16.3,2.3,2.6,4.9,0.12,0.2,1.4,1.6,1.8,0.4,1.5,1.8,9.1,1.4,0.402,1.2
376,Matt Bonner,PF,33,SAS,0.756,61,0,11.3,689.3,11.2,0.582,2.7,17.9,10.6,6.1,1.1,1.2,8.6,0.8,1,1.8,0.123,-0.4,0.7,0.3,0.4,0.2,0.3,0.8,3.2,1.6,0.429,0.2
377,Marco Belinelli,SF,27,SAS,0.756,80,25,25.2,2016,15,0.605,1,11.2,6.3,13.2,1.3,0.3,11.2,3.5,2.4,5.9,0.14,1.9,-0.3,1.7,1.9,0.1,1.2,1.6,11.4,3.7,0.43,1.6
378,Aron Baynes,C,27,SAS,0.756,53,4,9.3,492.9,9.7,0.467,13.6,19.4,16.6,9.9,0.2,0.7,17.3,-0.1,0.6,0.6,0.055,-3.7,-0.3,-4,-0.2,0.1,0.7,1.5,3,0,,0.4
379,Jeff Ayres,PF,26,SAS,0.756,73,10,13,949,11.1,0.605,11,19.2,15.3,8.6,0.7,1.9,24.1,1,1.4,2.4,0.121,-1.6,2.1,0.5,0.6,0.3,0.9,2,3.3,0,,0.8
380,Jonas Valanciunas,C,21,TOR,0.585,81,81,28.2,2284.2,16.1,0.579,11.5,25.1,18.2,4.2,0.5,2.5,14.7,3.5,3.2,6.7,0.141,-1.6,0.2,-1.4,0.3,0.9,1.7,3.1,11.3,0,0,3.2
381,Julyan Stone,SG,25,TOR,0.585,21,0,5.7,119.7,6.6,0.491,1.9,17.6,9.7,14.5,1.3,0,21.4,0,0.1,0.2,0.061,-3.5,0.5,-3,0,0,0.2,0.6,0.9,0.4,0.25,0.1
382,Terrence Ross,SG,22,TOR,0.585,81,62,26.7,2162.7,12,0.553,2.3,11.3,6.8,6.1,1.5,1,10,2,2.2,4.2,0.094,0.6,-0.7,-0.1,1,0.3,1.1,2.3,10.9,5,0.395,1.2
383,Steve Novak,PF,30,TOR,0.585,54,1,10,540,11.1,0.599,1.7,10.8,6.3,3.8,1.2,0.6,3.3,1,0.5,1.4,0.127,1.1,-1.7,-0.5,0.2,0.1,0.1,0.8,3.3,2.3,0.426,0.1
384,Kyle Lowry,PG,27,TOR,0.585,79,79,36.2,2859.8,20.1,0.567,3.6,11.5,7.5,34.7,2.2,0.4,13.4,8.4,3.3,11.7,0.197,5.8,0.1,5.9,5.7,0.2,2.5,3.4,17.9,6.3,0.38,4.9
385,Amir Johnson,PF,26,TOR,0.585,77,72,28.8,2217.6,15.4,0.592,9,17.6,13.3,8.7,1.3,3.2,15.4,3.2,3.1,6.3,0.136,0.2,2.4,2.6,2.6,1.1,1.6,3.5,10.4,0.9,0.303,1.9
386,Tyler Hansbrough,PF,28,TOR,0.585,64,4,15.3,979.2,14.2,0.562,14.2,20,17.1,2.7,1.5,1.6,14.5,1.7,1.4,3,0.149,-1.7,-0.2,-1.8,0,0.3,0.7,2.1,4.9,0,0,2.9
387,Landry Fields,SF,25,TOR,0.585,30,2,10.7,321,8.6,0.443,5.4,16,10.7,9.3,1.6,0.7,12.5,0,0.4,0.4,0.057,-3.9,0.9,-2.9,-0.1,0.1,0.4,0.8,2.3,0.2,0,0.7
388,DeMar DeRozan,SG,24,TOR,0.585,79,79,38.2,3017.8,18.4,0.532,2,11.3,6.6,18.9,1.5,0.7,9.5,5.8,3,8.8,0.141,1.4,-0.7,0.7,2,0.4,2.2,2.5,22.7,2.7,0.305,8
389,Dwight Buycks,PG,24,TOR,0.585,14,0,10.4,145.6,7.2,0.414,3.2,15.2,9.2,10.6,2.9,0,16.1,-0.2,0.2,0,-0.009,-4.8,0.2,-4.5,-0.1,0,0.7,0.8,3.1,1.2,0.294,0.6
453,Marvin Williams,PF,27,UTA,0.305,66,50,25.4,1676.4,14,0.54,5.5,17.9,11.5,7.7,1.7,1.5,8.7,1.9,1,2.9,0.084,0.5,-0.3,0.2,0.9,0.5,0.8,2.3,9.1,3.5,0.359,1.1
454,Jamaal Tinsley,PG,35,UTA,0.305,8,5,13.8,110.4,1.9,0.225,2,9.7,5.8,29.5,1,0,31,-0.3,0,-0.3,-0.122,-6.6,-3.1,-9.7,-0.2,0,1.1,1.3,1.1,1.9,0.067,0
455,Brandon Rush,SG,28,UTA,0.305,38,0,11,418,4.1,0.428,1.3,11.1,6.1,8.5,0.6,1.7,17.8,-0.5,0,-0.4,-0.05,-5,-1.3,-6.3,-0.4,0.2,0.5,0.8,2.1,1.2,0.34,0.1
456,John Lucas,PG,31,UTA,0.305,42,6,14.1,592.2,5.2,0.403,2.3,5.4,3.8,11.1,1.2,0,10,-0.7,0,-0.7,-0.058,-3.7,-3.3,-7,-0.7,0,0.5,1,3.8,2,0.298,0.4
457,Enes Kanter,C,21,UTA,0.305,80,37,26.7,2136,15.6,0.523,11.6,20.9,16.1,6.4,0.7,1.5,13.3,1.3,0.9,2.2,0.05,-2.1,-1.8,-3.9,-1,0.5,1.8,2.9,12.3,0,0,2.6
458,Richard Jefferson,SF,33,UTA,0.305,82,78,27,2214,11.8,0.573,0.9,10.8,5.7,9.6,1.3,0.5,11.5,2.3,0.4,2.7,0.058,0.3,-1.7,-1.4,0.3,0.2,1.1,2,10.1,3.7,0.409,2
459,Gordon Hayward,SF,23,UTA,0.305,77,77,36.4,2802.8,16.2,0.52,2.5,14,8,24.1,2.1,1.1,15,2.2,1.5,3.6,0.062,1,0,1,2.1,0.5,2.8,2,16.2,3.6,0.304,4.9
460,Mike Harris,PF,30,UTA,0.305,20,0,11.3,226,15.3,0.576,7.4,9.5,8.4,3.6,3.7,2.4,13.1,0.3,0.2,0.5,0.116,-1.4,0.6,-0.7,0.1,0.4,0.6,1.8,4.2,0.1,0,1.4
461,Rudy Gobert,C,21,UTA,0.305,45,0,9.6,432,12.9,0.507,13.1,28.5,20.6,2.4,1,7.4,23.8,-0.2,0.6,0.4,0.045,-6.1,1.8,-4.3,-0.3,0.9,0.7,1.3,2.3,0,,1.4
462,Diante Garrett,PG,25,UTA,0.305,71,0,14.8,1050.8,7.1,0.459,1.2,9.8,5.3,17.6,2.1,0.4,21.7,-1.1,0.3,-0.8,-0.036,-4,-1.2,-5.2,-0.8,0.1,1.1,1.1,3.5,1.4,0.375,0.2
463,Derrick Favors,PF,22,UTA,0.305,73,73,30.2,2204.6,19,0.556,10.1,23.7,16.7,7.3,1.8,3.8,12.9,2.9,2.3,5.1,0.112,-0.8,1.4,0.7,1.5,1.5,1.8,3.2,13.3,0,0,3.9
464,Jeremy Evans,SF,26,UTA,0.305,66,4,18.3,1207.8,16.2,0.549,11.1,18.7,14.8,6.1,1.8,3,9.9,1.9,1,2.8,0.112,-0.9,0.8,-0.1,0.6,0.7,0.6,2.1,6.1,0,0,1.1
465,Ian Clark,SG,22,UTA,0.305,23,0,7.5,172.5,9.2,0.485,1.9,11.1,6.4,14.7,2.4,0.9,16.7,-0.2,0.1,-0.1,-0.025,-2.6,-2.1,-4.7,-0.1,0.1,0.6,1,3,1.3,0.355,0.3
466,Alec Burks,SG,22,UTA,0.305,78,12,28.1,2191.8,15.8,0.547,3,10.7,6.8,16.9,1.7,0.5,13,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5,0.2,1.9,2.4,14,1.8,0.35,4.8
467,Trey Burke,PG,21,UTA,0.305,70,68,32.3,2261,12.6,0.473,1.8,9,5.3,29.4,1,0.2,12.2,1,0,0.9,0.02,0.5,-3,-2.5,-0.3,0.1,1.9,2.1,12.8,4.8,0.33,1.6
468,Andris Biedrins,C,27,UTA,0.305,6,0,7.5,45,2.4,0.412,5,39.7,21.8,0,0,0,35.5,-0.1,0,0,-0.033,-10.7,-4.3,-15,-0.1,0,0.3,1,0.5,0,,1
469,Martell Webster,SF,27,WAS,0.537,78,13,27.7,2160.6,11.5,0.591,2,10.1,6,6.7,1,0.6,8.3,3.3,1.7,5,0.112,1,-1.1,-0.1,1,0.2,0.7,1.9,9.7,4.8,0.392,1.6
470,John Wall,PG,23,WAS,0.537,82,82,36.3,2976.6,19.5,0.524,1.5,11.7,6.5,40.5,2.6,1.1,16.3,4,4,7.9,0.128,2.4,0.2,2.6,3.4,0.5,3.6,2.7,19.3,3.8,0.351,4.8
471,Garrett Temple,SG,27,WAS,0.537,75,0,8.5,637.5,7.8,0.431,3.8,8.7,6.2,15.8,2.8,1.4,20.8,-0.5,0.9,0.3,0.025,-4.6,1,-3.7,-0.3,0.1,0.6,1,1.8,0.4,0.207,0.6
472,Chris Singleton,SF,24,WAS,0.537,25,0,10,250,8.8,0.481,8.2,17.5,12.8,3.5,1.9,1,17.9,-0.2,0.3,0.2,0.033,-4.8,-0.9,-5.6,-0.2,0.1,0.7,1,3,0.8,0.368,1
473,Kevin Seraphin,C,24,WAS,0.537,53,1,10.9,577.7,12.5,0.533,10.5,15.3,12.8,4.9,0.3,3.7,14.9,0.2,0.6,0.8,0.066,-4.1,-1.2,-5.2,-0.5,0.5,0.8,1.9,4.7,0,,0.6
474,Glen Rice,SG,23,WAS,0.537,11,1,9.9,108.9,6.6,0.399,4.2,17.3,10.6,9.3,2.8,0.8,18.3,-0.3,0.2,-0.1,-0.043,-5.9,0,-5.8,-0.1,0.1,0.8,0.6,2.9,1.5,0.294,0.6
475,Otto Porter,SF,20,WAS,0.537,37,0,8.6,318.2,6,0.405,7.5,13.3,10.4,4.6,1.3,0.3,12.7,-0.4,0.3,0,-0.006,-5.4,-1.4,-6.8,-0.4,0,0.4,0.7,2.1,0.6,0.19,0.3
476,Nene Hilario,PF,31,WAS,0.537,53,37,29.4,1558.2,16.6,0.53,4.7,17.3,10.9,16.3,2.1,2.5,14.1,0.8,2.4,3.2,0.098,-1.6,1.8,0.2,0.9,0.9,2.2,3.1,14.2,0.1,0.2,5
477,Al Harrington,PF,33,WAS,0.537,34,0,15,510,9.7,0.506,3.3,15,9.1,8.7,1.4,0,13.3,-0.2,0.5,0.4,0.035,-2.2,-2.4,-4.6,-0.3,0,1,2.1,6.6,2.9,0.34,1
478,Marcin Gortat,C,29,WAS,0.537,81,80,32.8,2656.8,17.6,0.568,8.7,25.1,16.7,8.4,0.8,3.8,11.8,4.1,4,8.1,0.146,-1.1,2.1,1,2,1.5,1.6,2.5,13.2,0,1,2.8
479,Drew Gooden,C,32,WAS,0.537,22,0,18,396,18.4,0.591,10.7,23,16.7,6.3,1.3,1.5,9.9,0.9,0.6,1.4,0.173,-0.2,-0.8,-0.9,0.1,0.3,0.8,2.4,8.3,0.8,0.412,1.2
480,Trevor Booker,PF,26,WAS,0.537,72,45,21.6,1555.2,15,0.563,10.9,17.5,14.1,6.3,1.4,2.4,11.7,2.3,2,4.3,0.132,-1.1,1.3,0.2,0.8,0.6,0.8,1.8,6.8,0,0,1.1
481,Bradley Beal,SG,20,WAS,0.537,73,73,34.7,2533.1,14.3,0.507,2.4,10.2,6.3,16,1.4,0.6,9.4,1.6,2.4,4,0.076,0.2,-1.3,-1.1,0.5,0.2,1.8,2.1,17.1,4.7,0.402,2.6
482,Trevor Ariza,SF,28,WAS,0.537,77,77,35.4,2725.8,15.8,0.59,4.1,16.3,10.1,10.8,2.4,0.6,12.3,4.3,3.7,8,0.141,2.3,1.1,3.4,3.6,0.3,1.7,2.3,14.4,5.7,0.407,2.5
